code,name,metric,fy,basis,value,unit,source,as_of
1803,SHIMIZU CORPORATION,net_profit,FY2026,company,126600000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,net_sales,FY2026,company,2057800000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,net_sales,FY2026,consensus,2292436142860.0,jpy_abs,yfinance,2026-08-27
1803,SHIMIZU CORPORATION,operating_profit,FY2026,company,118600000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,dps,FY2027,company,77.0,jpy,jquants,2026-05-12
1803,SHIMIZU CORPORATION,eps,FY2027,company,191.4,jpy,jquants,2026-05-12
1803,SHIMIZU CORPORATION,eps,FY2027,consensus,195.58714,jpy,yfinance,2026-08-27
1803,SHIMIZU CORPORATION,net_profit,FY2027,company,130000000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,net_sales,FY2027,company,2310000000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,net_sales,FY2027,consensus,2308346000000.0,jpy_abs,yfinance,2026-08-27
1803,SHIMIZU CORPORATION,operating_profit,FY2027,company,153000000000.0,jpy_abs,jquants,2026-05-12
1803,SHIMIZU CORPORATION,eps,FY2028,consensus,195.62286,jpy,yfinance,2026-08-27
1803,SHIMIZU CORPORATION,net_sales,FY2028,consensus,2308152230010.0,jpy_abs,yfinance,2026-08-27
1808,HASEKO Corporation,dps,FY2026,company,90.0,jpy,jquants,2026-05-15
1808,HASEKO Corporation,eps,FY2026,company,219.15,jpy,jquants,2026-05-15
1808,HASEKO Corporation,eps,FY2026,consensus,265.19223,jpy,yfinance,2026-08-27
1808,HASEKO Corporation,net_profit,FY2026,company,58000000000.0,jpy_abs,jquants,2026-05-15
1808,HASEKO Corporation,net_sales,FY2026,company,1240000000000.0,jpy_abs,jquants,2026-05-15
1808,HASEKO Corporation,net_sales,FY2026,consensus,1377363958500.0,jpy_abs,yfinance,2026-08-27
1808,HASEKO Corporation,operating_profit,FY2026,company,97000000000.0,jpy_abs,jquants,2026-05-15
1808,HASEKO Corporation,dps,FY2027,company,100.0,jpy,jquants,2026-05-15
1808,HASEKO Corporation,eps,FY2027,company,249.39,jpy,jquants,2026-05-15
1808,HASEKO Corporation,eps,FY2027,consensus,294.21445,jpy,yfinance,2026-08-27
1808,HASEKO Corporation,net_profit,FY2027,company,66000000000.0,jpy_abs,jquants,2026-05-15
1808,HASEKO Corporation,net_sales,FY2027,company,1380000000000.0,jpy_abs,jquants,2026-05-15
