Code,MarketDiv,Name,ScaleCategory,Sector,Sector33
4612,0111,"NIPPON PAINT HOLDINGS CO.,LTD.",TOPIX Mid400,,
4613,0111,"KANSAI PAINT CO.,LTD.",TOPIX Mid400,,
4617,0111,"Chugoku Marine Paints,Ltd.",TOPIX Small 1,,
4626,0111,"TAIYO HOLDINGS CO.,LTD.",TOPIX Mid400,,
4631,0111,DIC Corporation,TOPIX Mid400,,
4633,0111,SAKATA INX CORPORATION,TOPIX Small 1,,
4634,0111,"artience Co.,Ltd.",TOPIX Small 1,,
4661,0111,"ORIENTAL LAND CO.,LTD.",TOPIX Large70,,
4665,0111,"DUSKIN CO.,LTD.",TOPIX Mid400,,
4666,0111,"PARK24 Co.,Ltd.",TOPIX Mid400,,
4676,0111,"FUJI MEDIA HOLDINGS,INC.",TOPIX Mid400,,
4680,0111,ROUND ONE Corporation,TOPIX Mid400,,
4681,0111,"RESORTTRUST,INC.",TOPIX Mid400,,
4684,0111,"OBIC Co.,Ltd.",TOPIX Mid400,,
4686,0111,JUSTSYSTEMS CORPORATION,TOPIX Small 1,,
4689,0111,LY Corporation,TOPIX Large70,,
4694,0111,"BML,INC.",TOPIX Small 1,,
4704,0111,Trend Micro Incorporated,TOPIX Mid400,,
4716,0112,ORACLE CORPORATION JAPAN,TOPIX Mid400,,
4722,0111,Future Corporation,TOPIX Small 1,,
4732,0111,"USS Co.,Ltd.",TOPIX Mid400,,
4733,0111,"OBIC BUSINESS CONSULTANTS CO.,LTD.",TOPIX Mid400,,
4751,0111,"CyberAgent,Inc.",TOPIX Mid400,,
4755,0111,"Rakuten Group,Inc.",TOPIX Mid400,,
4768,0111,OTSUKA CORPORATION,TOPIX Mid400,,
4776,0111,"Cybozu,Inc.",TOPIX Small 1,,
4812,0111,DENTSU SOKEN INC.,TOPIX Small 1,,
4819,0111,"Digital Garage,Inc.",TOPIX Small 1,,
4825,0111,WEATHERNEWS INC.,TOPIX Small 1,,
4849,0111,en Inc.,TOPIX Small 1,,
4887,0111,"SAWAI GROUP HOLDINGS Co.,Ltd.",TOPIX Mid400,,
4901,0111,FUJIFILM Holdings Corporation,TOPIX Large70,,
4902,0111,"KONICA MINOLTA,INC.",TOPIX Mid400,,
4911,0111,"Shiseido Company,Limited",TOPIX Mid400,,
4912,0111,Lion Corporation,TOPIX Mid400,,
4914,0111,TAKASAGO INTERNATIONAL CORPORATION,TOPIX Small 1,,
4919,0111,"Milbon Co.,Ltd.",TOPIX Small 1,,
4922,0111,KOSE Holdings Corporation,TOPIX Mid400,,
4927,0111,POLA ORBIS HOLDINGS INC.,TOPIX Mid400,,
4928,0111,"Noevir Holdings Co.,Ltd.",TOPIX Small 1,,
4958,0111,"T.HASEGAWA CO.,LTD.",TOPIX Small 1,,
4967,0111,"KOBAYASHI PHARMACEUTICAL CO.,LTD.",TOPIX Mid400,,
4971,0111,MEC COMPANY LTD.,TOPIX Small 1,,
4975,0111,JCU CORPORATION,TOPIX Small 1,,
4980,0111,Dexerials Corporation,TOPIX Mid400,,
4985,0111,Earth Corporation,TOPIX Small 1,,
4996,0111,"KUMIAI CHEMICAL INDUSTRY CO.,LTD.",TOPIX Small 1,,
5016,0111,JX Advanced Metals Corporation,TOPIX Mid400,,
5019,0111,"Idemitsu Kosan Co.,Ltd.",TOPIX Mid400,,
