Code,MarketCapB
7628,30.8
7643,19.0
7701,1096.2
7702,10.6
7717,45.4
7733,1727.0
7752,763.9
7806,238.6
7849,15.7
7867,240.9
7906,261.8
7915,60.5
7918,5.1
7927,14.3
7939,2.3
8022,271.1
8041,21.6
8045,9.7
8059,108.7
8078,317.6
8085,22.8
8086,266.6
8123,2.6
8159,66.8
8214,136.6
8219,118.5
8242,292.9
8308,4254.0
8338,50.2
8349,14.1
8365,12.7
8368,438.0
8386,262.6
8387,103.4
8392,159.2
8393,169.2
8395,88.6
8399,98.8
8424,391.2
8522,289.3
8544,272.0
8558,39.7
8572,738.7
8698,171.9
8705,13.0
8715,112.7
8742,6.3
8789,24.2
8841,79.0
8844,40.3
8881,33.4
8935,52.9
9005,1075.9
9037,139.9
9039,116.4
9045,336.0
9049,14.4
9057,25.9
9083,23.9
9227,15.0
9229,7.8
9259,5.6
9303,312.5
9312,20.2
9343,13.0
9347,109.7
9408,16.7
9438,33.9
9441,38.1
9446,5.1
9466,3.0
9476,3.9
9513,722.9
9514,7.9
9517,74.3
9639,48.1
9723,7.9
9729,82.4
9735,2448.3
9744,248.1
9857,16.3
9890,12.0
143A,1.5
2307,13.6
2321,10.0
2330,4.9
2332,8.5
2342,4.5
2385,6.5
2429,47.4
2440,8.5
247A,70.7
2531,336.5
2540,55.7
255A,49.6
256A,40.0
2587,1420.8
2612,43.8
268A,579.2
2749,60.0
2805,122.8
2820,30.2
2831,32.6
2897,872.1
2908,45.2
2922,23.8
297A,16.2
2980,53.7
2984,6.2
2993,10.6
3010,41.6
3059,3.9
3069,8.1
3088,984.7
3099,1114.7
3107,269.3
3111,1.5
3131,5.1
3197,734.7
3205,18.9
3232,55.4
3237,2.9
3284,50.3
332A,15.0
3350,405.2
3355,38.0
3392,14.3
3395,62.3
3405,506.6
3416,1.6
341A,28.2
3422,4.9
3431,45.1
3435,10.4
3449,52.7
3457,22.3
3484,19.4
3521,4.3
3529,16.6
3556,13.1
3569,189.4
3580,29.9
3632,64.6
3670,2.2
3673,85.4
3676,18.7
3682,4.5
3723,19.8
3768,4.2
3773,17.7
3798,28.8
3800,14.6
3817,60.2
3834,16.7
3840,4.9
3848,5.5
3896,4.5
3925,18.8
3932,40.2
3939,25.2
3944,2.6
3947,23.0
3954,14.0
3979,9.8
3992,17.8
4004,2426.1
4027,43.5
4042,731.2
4055,11.4
4056,5.5
4061,328.5
4064,25.9
4069,3.7
4072,31.3
4078,56.1
4092,25.9
4114,332.9
4171,4.0
4180,87.6
4182,814.0
4183,739.1
4188,1337.0
4205,347.3
4208,237.7
4212,67.5
421A,18.2
4231,20.5
4242,5.2
4243,2.0
4246,57.3
4258,23.2
4264,11.0
4274,5.3
4290,85.3
4293,85.3
4299,12.6
429A,322.7
4331,10.3
4356,10.0
4367,10.4
4379,7.2
4389,9.5
4396,22.5
4409,15.9
4415,8.0
4449,32.6
4461,91.5
4471,115.5
4478,116.0
4480,62.5
4488,8.8
4495,10.4
4502,9054.2
4506,810.5
4521,157.0
4524,9.1
4526,85.4
4527,556.1
4540,280.9
4548,41.3
4552,68.7
4570,13.3
4587,156.5
4593,49.5
4595,35.1
4611,37.2
4628,146.5
4635,17.4
4658,55.5
4680,242.9
4687,43.7
4694,148.2
4751,650.2
4761,14.4
4801,26.7
4809,21.0
4816,559.6
4847,25.4
4888,24.5
4889,20.5
4926,5.2
4928,152.0
4931,44.0
4933,19.9
4966,369.4
4974,137.4
4979,27.9
4980,395.7
4985,105.2
4997,80.0
504A,31.0
5071,12.7
5076,540.9
5184,54.4
5232,131.4
5254,29.8
5288,58.0
5301,213.7
5368,10.1
5401,3136.9
5458,3.1
5463,323.4
5599,7.9
5631,724.0
5632,27.1
5706,2128.3
5711,726.6
5753,5.4
5757,36.4
5911,117.1
5915,11.3
5951,16.4
5956,5.4
5957,28.0
5962,1.9
5973,3.6
5974,2.8
5976,42.7
5985,43.3
5997,3.9
6022,4.1
6030,12.7
6055,185.1
6059,6.9
6087,13.5
6090,3.9
6101,198.0
6125,27.7
6165,13.4
6181,4.6
6193,2.8
6197,101.2
6235,126.6
6246,21.6
6262,19.2
6269,954.7
6284,123.8
6292,5.5
6298,20.0
6306,30.7
6317,15.4
6324,377.7
6334,4.3
6339,50.5
6342,3.6
6346,7.8
6358,18.2
6368,744.7
6371,238.1
6379,126.2
6384,10.6
6405,12.7
6412,185.8
6417,383.6
6418,27.6
6464,12.1
6485,32.8
6486,132.2
6495,10.0
6497,8.5
6498,178.1
6518,5.7
6523,136.1
6524,121.9
6525,1601.2
6540,18.8
6547,29.3
6548,3.0
6549,4.7
6551,5.5
6570,7.3
6590,316.4
6620,25.9
6625,42.7
6638,46.3
6645,918.7
6648,34.4
6674,635.1
6694,2.8
6748,9.9
6785,40.7
6787,679.0
6800,89.2
6845,748.8
6871,496.6
6914,103.2
6941,168.5
7067,1.6
7081,14.5
7096,7.6
7122,15.9
7157,175.7
7167,1270.3
7187,23.8
7191,25.4
7201,1243.8
7202,1617.1
7208,5.7
7222,136.3
7238,33.7
7240,457.5
7242,195.8
7276,681.0
7292,77.5
7296,166.9
7299,18.1
7305,24.1
7314,3.7
7320,19.0
7337,575.8
7361,3.8
7374,9.4
7456,168.2
7458,178.7
7476,155.0
7482,32.6
7508,59.3
7522,41.8
7531,5.8
7532,2804.7
7551,11.5
7554,21.4
7561,12.6
7585,1.6
7602,4.1
7613,61.8
7637,28.2
7698,9.8
7715,56.4
7726,5.7
7729,644.8
7734,150.5
7735,2031.8
7745,79.6
7760,51.3
7762,438.2
7776,11.2
7780,127.5
7794,17.2
7822,10.0
7826,172.2
7833,6.4
7863,2.8
7864,143.5
7877,2.4
7898,9.3
7912,1295.2
7936,3236.4
7943,113.1
7979,62.5
7990,46.4
7991,14.3
8029,19.1
8032,125.7
8050,515.0
8051,140.5
8061,113.7
8075,63.4
8081,48.1
8107,9.1
8111,306.1
8129,306.2
8130,179.0
8136,1172.3
8138,4.0
8151,36.5
8160,70.5
8225,2.5
8226,7.0
8316,21136.5
8341,727.8
8354,1238.9
8366,480.4
8524,391.5
8542,18.6
8550,99.2
8551,40.1
8562,13.1
8772,28.0
8801,4715.7
8802,5547.0
8804,781.2
8818,93.4
8830,4451.2
8912,2.8
8920,33.0
8945,11.4
8946,2.0
9007,588.4
9010,130.0
9025,161.4
9036,6.3
9067,27.2
9069,313.8
9074,16.5
9082,6.2
9087,3.7
9130,13.1
9147,919.8
9214,1.9
9221,14.1
9272,15.9
9302,323.2
9305,44.7
9306,16.0
9308,38.8
9319,38.8
9332,20.6
9338,44.8
9340,6.7
9341,10.1
9365,2.3
9367,18.4
9428,13.1
9435,1764.5
9519,85.5
9621,84.8
9622,38.3
9633,10.9
9640,37.6
9644,23.3
9686,16.8
9697,1388.3
9709,24.1
9726,46.1
9746,183.7
9757,105.1
9845,36.5
9850,22.6
9856,38.6
9888,8.1
9889,74.6
9904,10.9
9908,28.0
9929,4.3
9956,205.4
9959,11.2
9984,21529.9
9986,14.5
9996,18.8
9997,84.9
141A,545.2
146A,31.2
148A,3.5
149A,2.8
155A,8.5
167A,107.9
1853,10.5
1914,12.9
195A,3.1
196A,2.7
