Code,Name,Shares,Sector
8001,ITOCHU Corporation,6989849411,Industrials
8031,"Mitsui & Co., Ltd.",2834074627,Industrials
8053,Sumitomo Corporation,1192658312,Industrials
8058,Mitsubishi Corporation,3672747887,Industrials
8165,"Senshukai Co., Ltd.",46776164,Consumer Cyclical
8303,N/A,887000000,Financial Services
8473,"SBI Holdings, Inc.",646171398,Financial Services
8860,Fuji Corporation Limited,35794923,Real Estate
9619,"Ichinen Holdings Co.,Ltd.",23677421,Industrials
9682,DTS Corporation,159348872,Technology
9799,"Asahi Intelligence Service Co., Ltd.",15312284,Technology
9950,"Hachi-Ban Co., Ltd.",2939787,Consumer Cyclical
1723,"Nihon Dengi Co., Ltd.",63733016,Technology
1898,"Seikitokyu Kogyo Co., Ltd.",36632369,Industrials
1911,"Sumitomo Forestry Co., Ltd.",611433861,Consumer Cyclical
1967,Yamato Corporation,22386945,Industrials
2003,"Nitto Fuji Flour Milling Co.,Ltd.",36420012,Consumer Defensive
2053,"Chubu Shiryo Co., Ltd.",28696273,Consumer Defensive
2326,Digital Arts Inc.,13443785,Technology
2335,Cube System Inc.,15177066,Technology
2489,Adways Inc.,39082120,Communication Services
2802,"Ajinomoto Co., Inc.",958444777,Consumer Defensive
2924,"Ifuji Sangyo Co., Ltd.",8149722,Consumer Defensive
3064,"MonotaRO Co., Ltd.",495422740,Consumer Cyclical
3326,"Runsystem Co.,Ltd.",4250410,Consumer Cyclical
3668,"COLOPL, Inc.",128451845,Communication Services
3984,"User Local, Inc.",15971061,Technology
4012,"Axis Co.,Ltd.",4284047,Technology
4151,"Kyowa Kirin Co., Ltd.",523488180,Healthcare
4262,"NIFTY Lifestyle Co., Ltd.",6351117,Real Estate
4326,INTAGE HOLDINGS Inc.,38210380,Communication Services
4475,Hennge K.K.,31172068,Technology
4582,SymBio Pharmaceuticals Limited,71777441,Healthcare
4746,"Toukei Computer Co., Ltd.",17969948,Technology
5187,"Create Medic Co., Ltd.",8385107,Healthcare
5261,"RESOL HOLDINGS Co.,Ltd.",5557198,Consumer Cyclical
5445,"Tokyo Tekko Co., Ltd.",25310001,Basic Materials
5955,"Wise Holdings Co.,Ltd.",133565810,Industrials
6200,"Insource Co., Ltd.",83973831,Consumer Defensive
6230,Sanei Ltd.,4577848,Industrials
6370,Kurita Water Industries Ltd.,109426769,Industrials
6395,Tadano Ltd.,126357355,Industrials
6809,TOA Corporation,34695986,Industrials
6841,Yokogawa Electric Corporation,254629068,Industrials
6853,"Kyowa Electronic Instruments Co., Ltd.",25298800,Technology
7120,SHINKO Inc.,4703898,Technology
7419,Nojima Corporation,288987271,Consumer Cyclical
7480,Suzuden Corporation,14029065,Industrials
7575,"Japan Lifeline Co., Ltd.",70156248,Healthcare
7609,"Daitron Co., Ltd.",21065266,Technology
7711,"Sukegawa Electric Co., Ltd.",5514869,Industrials
7972,Itoki Corporation,49407851,Consumer Cyclical
8005,Scroll Corporation,33821201,Consumer Cyclical
8012,"Nagase & Co., Ltd.",407832532,Basic Materials
8255,Axial Retailing Inc.,88587488,Consumer Defensive
8739,"SPARX Group Co., Ltd.",39519321,Financial Services
9325,PHYZ Holdings Inc.,10738540,Industrials
9424,Japan Communications Inc.,166809235,Communication Services
9701,"Tokyo Kaikan Co., Ltd.",3299195,Consumer Cyclical
9768,"IDEA Consultants,Inc.",7138956,Industrials
9878,"SEKIDO Co., Ltd.",3163612,Consumer Cyclical
9955,"The Yonkyu Co.,Ltd.",12255036,Consumer Defensive
1382,"HOB Co.,Ltd.",761620,Consumer Defensive
1429,"Nippon Aqua Co., Ltd.",32210329,Industrials
1450,TANAKEN Inc.,8698752,Industrials
151A,N/A,8398975,Industrials
1720,"Tokyu Construction Co., Ltd.",105949057,Industrials
1768,Sonec Corporation,7305368,Industrials
1893,"Penta-Ocean Construction Co., Ltd.",273083755,Industrials
1897,"The Kaneshita Construction Co.,Ltd.",2105048,Industrials
1899,Fukuda Corporation,8280754,Industrials
2060,"Feed One Co.,Ltd.",38269538,Consumer Defensive
2112,"Ensuiko Sugar Refining Co., Ltd.",27522571,Consumer Defensive
2139,"Chuco Co., Ltd.",6800024,Communication Services
2193,Cookpad Inc.,72340897,Communication Services
2206,"Ezaki Glico Co., Ltd.",63661452,Consumer Defensive
2266,"Rokko Butter Co., Ltd.",19482858,Consumer Defensive
2281,"Prima Meat Packers, Ltd.",50262669,Consumer Defensive
2282,NH Foods Ltd.,94618665,Consumer Defensive
2371,"Kakaku.com, Inc.",197836267,Communication Services
2378,"Renaissance,Incorporated",18915942,Communication Services
2461,"FAN Communications, Inc.",66095729,Communication Services
2666,"AUTOWAVE Co., Ltd.",14450789,Consumer Cyclical
2681,Geo Holdings Corporation,39783471,Consumer Cyclical
2693,YKT Corporation,11608634,Industrials
2700,"Kitoku Shinryo Co., Ltd.",8178582,Consumer Defensive
2705,"OOTOYA Holdings Co., Ltd.",7258353,Consumer Cyclical
2782,"Seria Co., Ltd.",62671584,Consumer Defensive
2790,"NAFCO Co., Ltd.",24582677,Consumer Cyclical
2883,"Dairei Co.,Ltd.",5858773,Industrials
2914,Japan Tobacco Inc.,1775389189,Consumer Defensive
303A,N/A,2050700,Technology
3097,The Monogatari Corporation,38518382,Consumer Cyclical
3166,"Ochi Holdings Co., Ltd.",13021684,Consumer Cyclical
3167,TOKAI Holdings Corporation,129146575,Industrials
3190,"HOTMAN Co.,Ltd.",7055500,Consumer Cyclical
3202,"Daitobo Co., Ltd.",29926212,Consumer Cyclical
3221,"Yossix Holdings Co.,Ltd.",10256188,Consumer Cyclical
3238,"Central General Development Co., Ltd.",9614122,Real Estate
3252,"JINUSHI Co.,Ltd.",20680582,Real Estate
3261,"GRANDES, Inc.",4100037,Real Estate
3271,The Global Ltd.,28305924,Real Estate
3286,TRUST Holdings Inc.,3867044,Industrials
3302,"Teikoku Sen-i Co., Ltd.",25601348,Industrials
3352,"Buffalo Co.,Ltd.",2343410,Consumer Cyclical
3386,"Cosmo Bio Company,Limited",5673947,Healthcare
3553,"Kyowa Leather Cloth Co., Ltd.",23830702,Basic Materials
3563,Food & Life Companies Ltd.,113254553,Consumer Cyclical
3626,TIS Inc.,219985454,Technology
3660,istyle Inc.,99903198,Consumer Cyclical
3663,"CELSYS, Inc.",29631016,Technology
3690,YRGLM Inc.,6200880,Communication Services
3712,"Information Planning CO., LTD.",15124695,Technology
3762,TechMatrix Corporation,40174748,Technology
3765,"GungHo Online Entertainment, Inc.",53130989,Communication Services
3766,"Systems Design Co., Ltd.",3418486,Technology
3850,NTT Data Intramart Corporation,4871583,Technology
3908,Collabos Corporation,4654705,Technology
3910,MKSystem Corporation,5427494,Technology
3917,"iRidge, Inc.",7829184,Technology
3926,OpenDoor Inc.,31013499,Communication Services
3934,"BENEFIT JAPAN Co., Ltd.",5873307,Communication Services
3946,"Tomoku Co., Ltd.",16496914,Consumer Cyclical
3997,"TRADE WORKS Co., Ltd",41029250,Technology
4025,"Taki Chemical Co., Ltd.",8338525,Basic Materials
4120,"Sugai Chemical Industry Co., Ltd.",1306387,Basic Materials
4263,"SUSMED,Inc.",16861946,Healthcare
