code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,net_profit,6000000000.0,2024-08-09,7900000000.0,2025-02-14,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,net_sales,60000000000.0,2024-08-09,60000000000.0,2025-02-14,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,operating_profit,6000000000.0,2024-08-09,6800000000.0,2025-02-14,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,ordinary_profit,5900000000.0,2024-08-09,7300000000.0,2025-02-14,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,dps,230.0,2025-05-13,64.0,2026-02-13,2
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,eps,103.43,2025-05-13,125.26,2026-02-13,2
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,net_profit,5800000000.0,2025-05-13,6400000000.0,2026-02-13,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,net_sales,65500000000.0,2025-05-13,66600000000.0,2026-02-13,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,operating_profit,8200000000.0,2025-05-13,9000000000.0,2026-02-13,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2026,ordinary_profit,8100000000.0,2025-05-13,9100000000.0,2026-02-13,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,dps,74.0,2026-05-13,74.0,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,eps,185.4,2026-05-13,185.4,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,net_profit,7100000000.0,2026-05-13,7100000000.0,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,net_sales,68000000000.0,2026-05-13,68000000000.0,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,operating_profit,9700000000.0,2026-05-13,9700000000.0,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2027,ordinary_profit,10000000000.0,2026-05-13,10000000000.0,2026-05-13,0
1605,INPEX CORPORATION,FY2024,dps,86.0,2024-08-08,86.0,2024-11-12,0
1605,INPEX CORPORATION,FY2024,eps,290.25,2024-08-08,306.85,2024-11-12,1
1605,INPEX CORPORATION,FY2024,net_profit,360000000000.0,2024-08-08,380000000000.0,2024-11-12,1
1605,INPEX CORPORATION,FY2024,net_sales,2254000000000.0,2024-08-08,2243000000000.0,2024-11-12,1
1605,INPEX CORPORATION,FY2024,operating_profit,1249000000000.0,2024-08-08,1224000000000.0,2024-11-12,1
1605,INPEX CORPORATION,FY2025,dps,90.0,2025-02-13,100.0,2025-11-13,1
1605,INPEX CORPORATION,FY2025,eps,275.55,2025-02-13,327.97,2025-11-13,3
