Code,VsTopix3M,VsTopix6M,VsTopix12M,TopixReturn3M,TopixReturn6M,TopixReturn12M,ComputedDate
7687,,-28.0,,3.73,24.13,53.95,2026-08-06
7715,,16.7,,3.73,24.13,53.95,2026-08-06
7721,,-16.3,,3.73,24.13,53.95,2026-08-06
7733,17.6,-18.4,,3.73,24.13,53.95,2026-08-06
7740,,13.1,,3.73,24.13,53.95,2026-08-06
7741,,-22.4,,3.73,24.13,53.95,2026-08-06
7745,,1.6,,3.73,24.13,53.95,2026-08-06
7762,,43.4,,3.73,24.13,53.95,2026-08-06
7774,,15.5,,3.73,24.13,53.95,2026-08-06
7800,,7.3,,3.73,24.13,53.95,2026-08-06
7804,-0.9,,,3.73,24.13,53.95,2026-08-06
7812,,-13.5,,3.73,24.13,53.95,2026-08-06
7814,,-28.5,-16.3,3.73,24.13,53.95,2026-08-06
7833,,-25.7,,3.73,24.13,53.95,2026-08-06
7844,,-22.0,,3.73,24.13,53.95,2026-08-06
7864,,-19.8,,3.73,24.13,53.95,2026-08-06
7906,,-36.7,,3.73,24.13,53.95,2026-08-06
7911,,-20.6,,3.73,24.13,53.95,2026-08-06
7915,,-23.7,,3.73,24.13,53.95,2026-08-06
7949,,-22.1,,3.73,24.13,53.95,2026-08-06
7972,,-10.9,,3.73,24.13,53.95,2026-08-06
7980,,-13.9,,3.73,24.13,53.95,2026-08-06
8005,,13.5,,3.73,24.13,53.95,2026-08-06
8006,,-26.4,,3.73,24.13,53.95,2026-08-06
8031,,-25.2,,3.73,24.13,53.95,2026-08-06
8035,,9.6,,3.73,24.13,53.95,2026-08-06
8041,,-10.3,,3.73,24.13,53.95,2026-08-06
8084,,5.8,,3.73,24.13,53.95,2026-08-06
8093,,-24.5,,3.73,24.13,53.95,2026-08-06
8104,,-13.2,,3.73,24.13,53.95,2026-08-06
8111,,-24.3,,3.73,24.13,53.95,2026-08-06
8119,,-26.8,,3.73,24.13,53.95,2026-08-06
8135,,-35.4,,3.73,24.13,53.95,2026-08-06
8139,,-20.5,,3.73,24.13,53.95,2026-08-06
8147,,-19.0,,3.73,24.13,53.95,2026-08-06
8151,,-9.9,,3.73,24.13,53.95,2026-08-06
8163,,-0.9,,3.73,24.13,53.95,2026-08-06
8173,,21.7,,3.73,24.13,53.95,2026-08-06
8185,,-25.7,,3.73,24.13,53.95,2026-08-06
8233,,-16.3,,3.73,24.13,53.95,2026-08-06
8252,,-23.1,,3.73,24.13,53.95,2026-08-06
8282,,-4.1,,3.73,24.13,53.95,2026-08-06
8306,,-1.0,,3.73,24.13,53.95,2026-08-06
8346,,15.0,,3.73,24.13,53.95,2026-08-06
8367,,4.7,,3.73,24.13,53.95,2026-08-06
8370,,-2.5,,3.73,24.13,53.95,2026-08-06
8386,,1.2,,3.73,24.13,53.95,2026-08-06
8511,,-6.6,,3.73,24.13,53.95,2026-08-06
8518,,-46.8,,3.73,24.13,53.95,2026-08-06
8522,,-7.3,,3.73,24.13,53.95,2026-08-06
8551,,11.2,,3.73,24.13,53.95,2026-08-06
8706,,-14.9,,3.73,24.13,53.95,2026-08-06
8714,,-4.3,,3.73,24.13,53.95,2026-08-06
8750,,9.9,,3.73,24.13,53.95,2026-08-06
8772,,-19.4,,3.73,24.13,53.95,2026-08-06
8841,,-8.5,,3.73,24.13,53.95,2026-08-06
8869,,-42.3,,3.73,24.13,53.95,2026-08-06
8871,-6.3,-20.3,,3.73,24.13,53.95,2026-08-06
8876,,-7.3,,3.73,24.13,53.95,2026-08-06
8897,,-14.7,,3.73,24.13,53.95,2026-08-06
8918,,-19.4,,3.73,24.13,53.95,2026-08-06
